,year,month,day,temp_2,temp_1,average,actual,forecast_noaa,forecast_acc,forecast_under,friend,week_Fri,week_Mon,week_Sat,week_Sun,week_Thurs,week_Tues,week_Wed
54,2016,2,26,59,61,51.1,60,48,56,53,65,1,0,0,0,0,0,0
55,2016,2,27,61,60,51.2,57,51,53,53,61,0,0,1,0,0,0,0
56,2016,2,28,60,57,51.3,53,48,56,53,66,0,0,0,1,0,0,0
57,2016,3,1,53,54,51.5,58,48,56,50,53,0,0,0,0,0,1,0
58,2016,3,2,54,58,51.6,55,47,54,52,37,0,0,0,0,0,0,1
59,2016,3,3,58,55,51.8,59,49,54,50,71,0,0,0,0,1,0,0
60,2016,3,4,55,59,51.9,57,47,56,53,45,1,0,0,0,0,0,0
61,2016,3,5,59,57,52.1,64,49,53,51,46,0,0,1,0,0,0,0
62,2016,3,6,57,64,52.2,60,52,53,51,49,0,0,0,1,0,0,0
63,2016,3,7,64,60,52.4,53,49,57,53,71,0,1,0,0,0,0,0
64,2016,3,8,60,53,52.5,54,48,56,51,70,0,0,0,0,0,1,0
65,2016,3,9,53,54,52.7,55,48,56,54,57,0,0,0,0,0,0,1
66,2016,3,10,54,55,52.8,56,49,55,53,50,0,0,0,0,1,0,0
67,2016,3,11,55,56,53.0,55,53,53,51,36,1,0,0,0,0,0,0
68,2016,3,12,56,55,53.1,52,52,58,53,65,0,0,1,0,0,0,0
69,2016,3,13,55,52,53.3,54,50,55,53,54,0,0,0,1,0,0,0
70,2016,3,14,52,54,53.4,49,49,58,55,44,0,1,0,0,0,0,0
71,2016,3,15,54,49,53.6,51,49,58,52,70,0,0,0,0,0,1,0
72,2016,3,16,49,51,53.7,53,52,54,55,65,0,0,0,0,0,0,1
73,2016,3,17,51,53,53.9,58,49,58,52,62,0,0,0,0,1,0,0
74,2016,3,18,53,58,54.0,63,51,57,54,56,1,0,0,0,0,0,0
75,2016,3,19,58,63,54.2,61,54,59,54,62,0,0,1,0,0,0,0
76,2016,3,20,63,61,54.3,55,51,56,55,50,0,0,0,1,0,0,0
77,2016,3,21,61,55,54.5,56,52,56,55,52,0,1,0,0,0,0,0
78,2016,3,22,55,56,54.6,57,51,55,54,64,0,0,0,0,0,1,0
79,2016,3,23,56,57,54.7,53,50,58,55,70,0,0,0,0,0,0,1
80,2016,3,24,57,53,54.9,54,54,56,56,72,0,0,0,0,1,0,0
81,2016,3,25,53,54,55.0,57,53,57,57,42,1,0,0,0,0,0,0
82,2016,3,26,54,57,55.2,59,53,57,55,54,0,0,1,0,0,0,0
83,2016,3,27,57,59,55.3,51,52,58,55,39,0,0,0,1,0,0,0
84,2016,3,28,59,51,55.5,56,55,57,55,47,0,1,0,0,0,0,0
85,2016,3,29,51,56,55.6,64,53,59,54,45,0,0,0,0,0,1,0
86,2016,3,30,56,64,55.7,68,51,57,56,57,0,0,0,0,0,0,1
87,2016,3,31,64,68,55.9,73,55,59,56,56,0,0,0,0,1,0,0
88,2016,4,1,68,73,56.0,71,54,59,55,41,1,0,0,0,0,0,0
89,2016,4,2,73,71,56.2,63,55,58,58,45,0,0,1,0,0,0,0
90,2016,4,3,71,63,56.3,69,54,61,56,64,0,0,0,1,0,0,0
91,2016,4,4,63,69,56.5,60,54,59,56,45,0,1,0,0,0,0,0
92,2016,4,5,69,60,56.6,57,52,58,56,72,0,0,0,0,0,1,0
93,2016,4,6,60,57,56.8,68,53,59,57,64,0,0,0,0,0,0,1
94,2016,4,7,57,68,56.9,77,52,61,55,38,0,0,0,0,1,0,0
95,2016,4,8,68,77,57.1,76,57,61,57,41,1,0,0,0,0,0,0
96,2016,4,9,77,76,57.2,66,53,61,57,74,0,0,1,0,0,0,0
97,2016,4,10,76,66,57.4,59,57,60,57,60,0,0,0,1,0,0,0
98,2016,4,11,66,59,57.6,58,56,60,58,40,0,1,0,0,0,0,0
99,2016,4,12,59,58,57.7,60,54,59,57,61,0,0,0,0,0,1,0
100,2016,4,13,58,60,57.9,59,55,62,56,77,0,0,0,0,0,0,1
101,2016,4,14,60,59,58.1,59,57,63,58,66,0,0,0,0,1,0,0
102,2016,4,15,59,59,58.3,60,58,61,60,40,1,0,0,0,0,0,0
103,2016,4,16,59,60,58.5,68,56,60,59,59,0,0,1,0,0,0,0
104,2016,4,17,60,68,58.6,77,58,62,59,54,0,0,0,1,0,0,0
105,2016,4,18,68,77,58.8,89,55,59,57,39,0,1,0,0,0,0,0
106,2016,4,19,77,89,59.0,81,59,63,59,61,0,0,0,0,0,1,0
107,2016,4,20,89,81,59.2,81,56,63,61,66,0,0,0,0,0,0,1
108,2016,4,21,81,81,59.4,73,55,61,59,55,0,0,0,0,1,0,0
109,2016,4,22,81,73,59.7,64,59,64,60,59,1,0,0,0,0,0,0
110,2016,4,23,73,64,59.9,65,56,63,59,57,0,0,1,0,0,0,0
111,2016,4,24,64,65,60.1,55,57,61,60,41,0,0,0,1,0,0,0
112,2016,4,25,65,55,60.3,59,56,64,61,77,0,1,0,0,0,0,0
113,2016,4,26,55,59,60.5,60,56,61,62,75,0,0,0,0,0,1,0
114,2016,4,27,59,60,60.7,61,59,65,60,50,0,0,0,0,0,0,1
115,2016,4,28,60,61,61.0,64,56,65,62,73,0,0,0,0,1,0,0
116,2016,4,29,61,64,61.2,61,61,65,61,49,1,0,0,0,0,0,0
117,2016,4,30,64,61,61.4,68,60,65,62,78,0,0,1,0,0,0,0
118,2016,5,1,61,68,61.6,77,60,65,60,75,0,0,0,1,0,0,0
119,2016,5,2,68,77,61.9,87,60,66,61,59,0,1,0,0,0,0,0
120,2016,5,3,77,87,62.1,74,62,66,64,69,0,0,0,0,0,1,0
121,2016,5,4,87,74,62.3,60,59,65,64,61,0,0,0,0,0,0,1
122,2016,5,5,74,60,62.5,68,58,66,62,56,0,0,0,0,1,0,0
123,2016,5,6,60,68,62.8,77,61,64,61,64,1,0,0,0,0,0,0
124,2016,5,7,68,77,63.0,82,61,65,63,83,0,0,1,0,0,0,0
125,2016,5,8,77,82,63.2,63,62,65,63,83,0,0,0,1,0,0,0
126,2016,5,9,82,63,63.4,67,59,66,62,64,0,1,0,0,0,0,0
127,2016,5,10,63,67,63.6,75,61,66,64,68,0,0,0,0,0,1,0
128,2016,5,11,67,75,63.8,81,62,68,63,60,0,0,0,0,0,0,1
129,2016,5,12,75,81,64.1,77,62,67,63,81,0,0,0,0,1,0,0
130,2016,5,13,81,77,64.3,82,63,67,66,67,1,0,0,0,0,0,0
131,2016,5,14,77,82,64.5,65,64,66,66,65,0,0,1,0,0,0,0
132,2016,5,15,82,65,64.7,57,63,69,64,58,0,0,0,1,0,0,0
133,2016,5,16,65,57,64.8,60,61,65,65,53,0,1,0,0,0,0,0
134,2016,5,17,57,60,65.0,71,62,65,65,55,0,0,0,0,0,1,0
135,2016,5,18,60,71,65.2,64,61,68,65,56,0,0,0,0,0,0,1
136,2016,5,19,71,64,65.4,63,62,68,67,56,0,0,0,0,1,0,0
137,2016,5,20,64,63,65.6,66,63,70,64,73,1,0,0,0,0,0,0
138,2016,5,21,63,66,65.7,59,62,67,65,49,0,0,1,0,0,0,0
139,2016,5,22,66,59,65.9,66,62,66,65,80,0,0,0,1,0,0,0
140,2016,5,23,59,66,66.1,65,63,68,68,66,0,1,0,0,0,0,0
141,2016,5,24,66,65,66.2,66,66,71,66,67,0,0,0,0,0,1,0
142,2016,5,25,65,66,66.4,66,65,67,66,60,0,0,0,0,0,0,1
143,2016,5,26,66,66,66.5,65,64,70,65,85,0,0,0,0,1,0,0
144,2016,5,27,66,65,66.7,64,64,67,68,73,1,0,0,0,0,0,0
145,2016,5,28,65,64,66.8,64,64,69,65,64,0,0,1,0,0,0,0
146,2016,5,29,64,64,67.0,64,65,71,65,76,0,0,0,1,0,0,0
147,2016,5,30,64,64,67.1,71,64,70,66,69,0,1,0,0,0,0,0
148,2016,5,31,64,71,67.3,79,63,72,68,85,0,0,0,0,0,1,0
149,2016,6,1,71,79,67.4,75,65,69,66,58,0,0,0,0,0,0,1
150,2016,6,2,79,75,67.6,71,64,71,67,77,0,0,0,0,1,0,0
151,2016,6,3,75,71,67.7,80,64,71,66,55,1,0,0,0,0,0,0
152,2016,6,4,71,80,67.9,81,63,72,66,76,0,0,1,0,0,0,0
153,2016,6,5,80,81,68.0,92,64,70,66,54,0,0,0,1,0,0,0
154,2016,6,6,81,92,68.2,86,65,70,67,71,0,1,0,0,0,0,0
155,2016,6,7,92,86,68.3,85,67,69,70,58,0,0,0,0,0,1,0
156,2016,6,8,86,85,68.5,67,67,70,69,81,0,0,0,0,0,0,1
157,2016,6,9,85,67,68.6,65,66,73,69,80,0,0,0,0,1,0,0
158,2016,6,10,67,65,68.8,67,67,71,67,73,1,0,0,0,0,0,0
159,2016,6,11,65,67,69.0,65,69,72,71,87,0,0,1,0,0,0,0
160,2016,6,12,67,65,69.1,70,65,73,70,83,0,0,0,1,0,0,0
161,2016,6,13,65,70,69.3,66,66,72,69,79,0,1,0,0,0,0,0
162,2016,6,14,70,66,69.5,60,66,71,69,85,0,0,0,0,0,1,0
163,2016,6,15,66,60,69.7,67,65,73,71,69,0,0,0,0,0,0,1
164,2016,6,16,60,67,69.8,71,68,72,71,87,0,0,0,0,1,0,0
165,2016,6,17,67,71,70.0,67,66,74,69,54,1,0,0,0,0,0,0
166,2016,6,18,71,67,70.2,65,67,75,69,77,0,0,1,0,0,0,0
167,2016,6,19,67,65,70.4,70,69,73,70,58,0,0,0,1,0,0,0
168,2016,6,20,65,70,70.6,76,67,71,70,79,0,1,0,0,0,0,0
169,2016,6,21,70,76,70.8,73,68,75,71,57,0,0,0,0,0,1,0
170,2016,6,22,76,73,71.0,75,66,71,72,78,0,0,0,0,0,0,1
171,2016,6,23,73,75,71.3,68,68,72,71,56,0,0,0,0,1,0,0
172,2016,6,24,75,68,71.5,69,67,73,73,65,1,0,0,0,0,0,0
173,2016,6,25,68,69,71.7,71,68,73,73,89,0,0,1,0,0,0,0
174,2016,6,26,69,71,71.9,78,67,74,72,70,0,0,0,1,0,0,0
175,2016,6,27,71,78,72.2,85,70,74,72,84,0,1,0,0,0,0,0
176,2016,6,28,78,85,72.4,79,72,76,74,67,0,0,0,0,0,1,0
177,2016,6,29,85,79,72.6,74,68,76,74,81,0,0,0,0,0,0,1
178,2016,6,30,79,74,72.8,73,71,76,72,87,0,0,0,0,1,0,0
179,2016,7,1,74,73,73.1,76,71,75,72,93,1,0,0,0,0,0,0
180,2016,7,2,73,76,73.3,76,70,77,73,84,0,0,1,0,0,0,0
181,2016,7,3,76,76,73.5,71,69,76,75,85,0,0,0,1,0,0,0
182,2016,7,4,76,71,73.8,68,71,76,73,86,0,1,0,0,0,0,0
183,2016,7,5,71,68,74.0,69,72,77,74,62,0,0,0,0,0,1,0
184,2016,7,6,68,69,74.2,76,72,76,75,86,0,0,0,0,0,0,1
185,2016,7,7,69,76,74.4,68,73,77,74,72,0,0,0,0,1,0,0
186,2016,7,8,76,68,74.6,74,72,79,75,77,1,0,0,0,0,0,0
187,2016,7,9,68,74,74.9,71,70,79,76,60,0,0,1,0,0,0,0
188,2016,7,10,74,71,75.1,74,71,77,76,95,0,0,0,1,0,0,0
189,2016,7,11,71,74,75.3,74,74,79,75,71,0,1,0,0,0,0,0
190,2016,7,12,74,74,75.4,77,74,77,77,71,0,0,0,0,0,1,0
191,2016,7,13,74,77,75.6,75,74,78,76,56,0,0,0,0,0,0,1
192,2016,7,14,77,75,75.8,77,74,76,77,77,0,0,0,0,1,0,0
193,2016,7,15,75,77,76.0,76,74,80,78,75,1,0,0,0,0,0,0
194,2016,7,16,77,76,76.1,72,76,78,75,61,0,0,1,0,0,0,0
195,2016,7,17,76,72,76.3,80,76,78,77,88,0,0,0,1,0,0,0
196,2016,7,18,72,80,76.4,73,75,77,75,66,0,1,0,0,0,0,0
197,2016,7,19,80,73,76.6,78,76,78,77,90,0,0,0,0,0,1,0
198,2016,7,20,73,78,76.7,82,75,78,77,66,0,0,0,0,0,0,1
199,2016,7,21,78,82,76.8,81,73,81,78,84,0,0,0,0,1,0,0
200,2016,7,22,82,81,76.9,71,72,77,76,70,1,0,0,0,0,0,0
201,2016,7,23,81,71,77.0,75,75,81,76,86,0,0,1,0,0,0,0
202,2016,7,24,71,75,77.1,80,76,78,78,75,0,0,0,1,0,0,0
203,2016,7,25,75,80,77.1,85,75,82,76,81,0,1,0,0,0,0,0
204,2016,7,26,80,85,77.2,79,73,79,76,74,0,0,0,0,0,1,0
205,2016,7,27,85,79,77.3,83,73,78,79,79,0,0,0,0,0,0,1
206,2016,7,28,79,83,77.3,85,76,80,78,76,0,0,0,0,1,0,0
207,2016,7,29,83,85,77.3,88,77,80,79,77,1,0,0,0,0,0,0
208,2016,7,30,85,88,77.3,76,75,79,77,70,0,0,1,0,0,0,0
209,2016,7,31,88,76,77.4,73,76,78,79,95,0,0,0,1,0,0,0
210,2016,8,1,76,73,77.4,77,76,78,79,65,0,1,0,0,0,0,0
211,2016,8,2,73,77,77.4,73,75,80,79,62,0,0,0,0,0,1,0
212,2016,8,3,77,73,77.3,75,77,81,77,93,0,0,0,0,0,0,1
213,2016,8,4,73,75,77.3,80,73,79,78,66,0,0,0,0,1,0,0
214,2016,8,5,75,80,77.3,79,75,81,78,71,1,0,0,0,0,0,0
215,2016,8,6,80,79,77.2,72,76,81,79,60,0,0,1,0,0,0,0
216,2016,8,7,79,72,77.2,72,74,78,77,95,0,0,0,1,0,0,0
217,2016,8,8,72,72,77.1,73,76,78,77,65,0,1,0,0,0,0,0
218,2016,8,9,72,73,77.1,72,77,80,79,94,0,0,0,0,0,1,0
219,2016,8,10,73,72,77.0,76,77,78,77,68,0,0,0,0,0,0,1
220,2016,8,11,72,76,76.9,80,74,81,75,80,0,0,0,0,1,0,0
221,2016,8,12,76,80,76.9,87,72,79,77,81,1,0,0,0,0,0,0
222,2016,8,13,80,87,76.8,90,73,79,78,73,0,0,1,0,0,0,0
223,2016,8,14,87,90,76.7,83,75,78,78,65,0,0,0,1,0,0,0
224,2016,8,15,90,83,76.6,84,76,79,75,70,0,1,0,0,0,0,0
225,2016,8,16,83,84,76.5,81,72,78,78,90,0,0,0,0,0,1,0
226,2016,8,23,84,81,75.7,79,73,78,77,89,0,0,0,0,0,1,0
227,2016,8,28,81,79,75.0,75,71,77,76,85,0,0,0,1,0,0,0
228,2016,8,30,79,75,74.6,70,74,76,75,63,0,0,0,0,0,1,0
229,2016,9,3,75,70,73.9,67,71,75,73,68,0,0,1,0,0,0,0
230,2016,9,4,70,67,73.7,68,72,77,75,64,0,0,0,1,0,0,0
231,2016,9,5,67,68,73.5,68,71,75,73,54,0,1,0,0,0,0,0
232,2016,9,6,68,68,73.3,68,73,76,75,79,0,0,0,0,0,1,0
233,2016,9,7,68,68,73.0,67,72,78,71,70,0,0,0,0,0,0,1
234,2016,9,8,68,67,72.8,72,69,77,73,56,0,0,0,0,1,0,0
235,2016,9,9,67,72,72.6,74,68,77,71,78,1,0,0,0,0,0,0
236,2016,9,10,72,74,72.3,77,70,77,74,91,0,0,1,0,0,0,0
237,2016,9,11,74,77,72.1,70,69,75,71,70,0,0,0,1,0,0,0
238,2016,9,12,77,70,71.8,74,67,73,73,90,0,1,0,0,0,0,0
239,2016,9,13,70,74,71.5,75,71,75,70,82,0,0,0,0,0,1,0
240,2016,9,14,74,75,71.2,79,67,75,73,77,0,0,0,0,0,0,1
241,2016,9,15,75,79,71.0,71,66,76,69,64,0,0,0,0,1,0,0
242,2016,9,16,79,71,70.7,75,70,74,71,52,1,0,0,0,0,0,0
243,2016,9,17,71,75,70.3,68,66,73,70,84,0,0,1,0,0,0,0
244,2016,9,18,75,68,70.0,69,66,73,71,90,0,0,0,1,0,0,0
245,2016,9,19,68,69,69.7,71,65,74,71,88,0,1,0,0,0,0,0
246,2016,9,20,69,71,69.4,67,67,73,69,81,0,0,0,0,0,1,0
247,2016,9,21,71,67,69.0,68,65,70,70,76,0,0,0,0,0,0,1
248,2016,9,22,67,68,68.7,67,65,70,69,56,0,0,0,0,1,0,0
249,2016,9,23,68,67,68.3,64,67,69,67,61,1,0,0,0,0,0,0
250,2016,9,24,67,64,68.0,67,65,71,66,64,0,0,1,0,0,0,0
251,2016,9,25,64,67,67.6,76,64,72,67,62,0,0,0,1,0,0,0
252,2016,9,26,67,76,67.2,77,64,69,69,74,0,1,0,0,0,0,0
253,2016,9,27,76,77,66.8,69,66,67,68,64,0,0,0,0,0,1,0
254,2016,9,28,77,69,66.5,68,66,68,66,62,0,0,0,0,0,0,1
255,2016,9,29,69,68,66.1,66,63,71,68,57,0,0,0,0,1,0,0
256,2016,9,30,68,66,65.7,67,64,67,65,74,1,0,0,0,0,0,0
257,2016,10,1,66,67,65.3,63,64,70,64,54,0,0,1,0,0,0,0
258,2016,10,2,67,63,64.9,65,62,69,66,82,0,0,0,1,0,0,0
259,2016,10,3,63,65,64.5,61,63,68,65,49,0,1,0,0,0,0,0
260,2016,10,4,65,61,64.1,63,62,69,65,60,0,0,0,0,0,1,0
261,2016,10,5,61,63,63.7,66,61,66,65,48,0,0,0,0,0,0,1
262,2016,10,6,63,66,63.3,63,62,67,63,55,0,0,0,0,1,0,0
263,2016,10,7,66,63,62.9,64,62,67,64,78,1,0,0,0,0,0,0
264,2016,10,8,63,64,62.5,68,60,65,61,73,0,0,1,0,0,0,0
265,2016,10,9,64,68,62.1,57,58,65,63,55,0,0,0,1,0,0,0
266,2016,10,10,68,57,61.8,60,58,64,61,62,0,1,0,0,0,0,0
267,2016,10,11,57,60,61.4,62,58,66,61,58,0,0,0,0,0,1,0
268,2016,10,12,60,62,61.0,66,60,63,63,52,0,0,0,0,0,0,1
269,2016,10,13,62,66,60.6,60,60,62,60,57,0,0,0,0,1,0,0
270,2016,10,14,66,60,60.2,60,56,64,60,78,1,0,0,0,0,0,0
271,2016,10,15,60,60,59.9,62,59,62,59,46,0,0,1,0,0,0,0
272,2016,10,16,60,62,59.5,60,57,60,59,40,0,0,0,1,0,0,0
273,2016,10,17,62,60,59.1,60,57,63,59,62,0,1,0,0,0,0,0
274,2016,10,18,60,60,58.8,61,54,60,57,53,0,0,0,0,0,1,0
275,2016,10,19,60,61,58.4,58,58,60,57,41,0,0,0,0,0,0,1
276,2016,10,20,61,58,58.1,62,58,59,58,43,0,0,0,0,1,0,0
277,2016,10,21,58,62,57.8,59,56,60,59,44,1,0,0,0,0,0,0
278,2016,10,22,62,59,57.4,62,56,59,58,44,0,0,1,0,0,0,0
279,2016,10,23,59,62,57.1,62,57,58,59,67,0,0,0,1,0,0,0
280,2016,10,24,62,62,56.8,61,52,61,57,70,0,1,0,0,0,0,0
281,2016,10,25,62,61,56.5,65,53,60,55,70,0,0,0,0,0,1,0
282,2016,10,26,61,65,56.2,58,53,57,57,41,0,0,0,0,0,0,1
283,2016,10,27,65,58,55.9,60,51,60,55,39,0,0,0,0,1,0,0
284,2016,10,28,58,60,55.6,65,52,56,55,52,1,0,0,0,0,0,0
285,2016,10,29,60,65,55.3,68,55,59,55,65,0,0,1,0,0,0,0
286,2016,10,31,65,117,54.8,59,51,59,56,62,0,1,0,0,0,0,0
287,2016,11,1,117,59,54.5,57,51,59,55,61,0,0,0,0,0,1,0
288,2016,11,2,59,57,54.2,57,54,58,55,70,0,0,0,0,0,0,1
289,2016,11,3,57,57,53.9,65,53,54,54,35,0,0,0,0,1,0,0
290,2016,11,4,57,65,53.7,65,49,55,54,38,1,0,0,0,0,0,0
291,2016,11,5,65,65,53.4,58,49,58,52,41,0,0,1,0,0,0,0
292,2016,11,6,65,58,53.2,61,52,57,55,71,0,0,0,1,0,0,0
293,2016,11,7,58,61,52.9,63,51,56,51,35,0,1,0,0,0,0,0
294,2016,11,8,61,63,52.7,71,49,57,52,49,0,0,0,0,0,1,0
295,2016,11,9,63,71,52.4,65,48,56,52,42,0,0,0,0,0,0,1
296,2016,11,10,71,65,52.2,64,52,54,51,38,0,0,0,0,1,0,0
297,2016,11,11,65,64,51.9,63,50,53,52,55,1,0,0,0,0,0,0
298,2016,11,12,64,63,51.7,59,50,52,52,63,0,0,1,0,0,0,0
299,2016,11,13,63,59,51.4,55,48,56,50,64,0,0,0,1,0,0,0
300,2016,11,14,59,55,51.2,57,49,53,53,42,0,1,0,0,0,0,0
301,2016,11,15,55,57,51.0,55,47,54,51,46,0,0,0,0,0,1,0
302,2016,11,16,57,55,50.7,50,50,51,49,34,0,0,0,0,0,0,1
303,2016,11,17,55,50,50.5,52,46,51,50,57,0,0,0,0,1,0,0
304,2016,11,18,50,52,50.3,55,50,53,50,35,1,0,0,0,0,0,0
305,2016,11,19,52,55,50.0,57,50,54,49,56,0,0,1,0,0,0,0
306,2016,11,20,55,57,49.8,55,47,54,48,30,0,0,0,1,0,0,0
307,2016,11,21,57,55,49.5,54,46,51,49,67,0,1,0,0,0,0,0
308,2016,11,22,55,54,49.3,54,46,54,49,58,0,0,0,0,0,1,0
309,2016,11,23,54,54,49.1,49,48,52,49,38,0,0,0,0,0,0,1
310,2016,11,24,54,49,48.9,52,47,53,48,29,0,0,0,0,1,0,0
311,2016,11,25,49,52,48.6,52,45,52,47,41,1,0,0,0,0,0,0
312,2016,11,26,52,52,48.4,53,48,50,47,58,0,0,1,0,0,0,0
313,2016,11,27,52,53,48.2,48,48,49,49,53,0,0,0,1,0,0,0
314,2016,11,28,53,48,48.0,52,46,48,49,44,0,1,0,0,0,0,0
315,2016,11,29,48,52,47.8,52,43,48,47,50,0,0,0,0,0,1,0
316,2016,11,30,52,52,47.6,52,47,52,49,44,0,0,0,0,0,0,1
317,2016,12,1,52,52,47.4,46,44,48,49,39,0,0,0,0,1,0,0
318,2016,12,2,52,46,47.2,50,46,51,49,41,1,0,0,0,0,0,0
319,2016,12,3,46,50,47.0,49,42,52,47,58,0,0,1,0,0,0,0
320,2016,12,4,50,49,46.8,46,45,47,47,53,0,0,0,1,0,0,0
321,2016,12,5,49,46,46.6,40,43,50,45,65,0,1,0,0,0,0,0
322,2016,12,6,46,40,46.4,42,44,50,45,56,0,0,0,0,0,1,0
323,2016,12,7,40,42,46.3,40,44,51,46,62,0,0,0,0,0,0,1
324,2016,12,8,42,40,46.1,41,45,51,47,36,0,0,0,0,1,0,0
325,2016,12,9,40,41,46.0,36,43,51,44,54,1,0,0,0,0,0,0
326,2016,12,10,41,36,45.9,44,44,48,44,65,0,0,1,0,0,0,0
327,2016,12,11,36,44,45.7,44,41,46,47,35,0,0,0,1,0,0,0
328,2016,12,12,44,44,45.6,43,43,50,45,42,0,1,0,0,0,0,0
329,2016,12,13,44,43,45.5,40,41,47,46,46,0,0,0,0,0,1,0
330,2016,12,14,43,40,45.4,39,45,48,45,49,0,0,0,0,0,0,1
331,2016,12,15,40,39,45.3,39,45,49,47,46,0,0,0,0,1,0,0
332,2016,12,16,39,39,45.3,35,44,49,44,39,1,0,0,0,0,0,0
333,2016,12,17,39,35,45.2,35,43,47,46,38,0,0,1,0,0,0,0
334,2016,12,18,35,35,45.2,39,44,46,46,36,0,0,0,1,0,0,0
335,2016,12,19,35,39,45.1,46,42,46,45,51,0,1,0,0,0,0,0
336,2016,12,20,39,46,45.1,51,45,49,45,62,0,0,0,0,0,1,0
